Week Ending Date,State,Average Expected Count,Observed Number
2017-11-25,Texas,4076,3898
2017-11-25,United States,56049,54229
2017-11-25,Utah,379,369
2017-11-25,Vermont,115,108
2017-11-25,Virginia,1340,1320
2017-11-25,Washington,1129,1106
2017-11-25,West Virginia,448,432
2017-11-25,Wisconsin,1074,1067
2017-11-25,Wyoming,95,90
2017-12-02,Alabama,1068,1067
2017-12-02,Alaska,91,94
2017-12-02,Arizona,1096,1133
2017-12-02,Arkansas,621,615
2017-12-02,California,5208,4957
2017-12-02,Colorado,787,708
2017-12-02,Connecticut,631,626
2017-12-02,Delaware,186,193
2017-12-02,District of Columbia,118,116
2017-12-02,Florida,4062,3999
2017-12-02,Georgia,1746,1630
2017-12-02,Hawaii,218,266
2017-12-02,Idaho,265,266
2017-12-02,Illinois,2142,2102
2017-12-02,Indiana,1288,1202
2017-12-02,Iowa,633,582
2017-12-02,Kansas,539,517
2017-12-02,Kentucky,942,930
2017-12-02,Louisiana,940,959
2017-12-02,Maine,308,317
2017-12-02,Maryland,978,982
2017-12-02,Massachusetts,1235,1177
2017-12-02,Michigan,1964,1878
2017-12-02,Minnesota,913,862
2017-12-02,Mississippi,658,642
2017-12-02,Missouri,1306,1246
2017-12-02,Montana,204,210
2017-12-02,Nebraska,355,315
2017-12-02,Nevada,474,508
2017-12-02,New Hampshire,258,248
2017-12-02,New Jersey,1445,1395
2017-12-02,New Mexico,346,384
2017-12-02,New York,3152,3107
2017-12-02,North Carolina,1910,1774
2017-12-02,North Dakota,141,153
2017-12-02,Ohio,2402,2392
2017-12-02,Oklahoma,793,800
2017-12-02,Oregon,744,657
2017-12-02,Pennsylvania,2739,2707
2017-12-02,Puerto Rico,568,659
2017-12-02,Rhode Island,222,206
2017-12-02,South Carolina,1000,931
2017-12-02,South Dakota,163,166
2017-12-02,Tennessee,1476,1468
2017-12-02,Texas,4122,3982
2017-12-02,United States,56424,54904
2017-12-02,Utah,377,358
2017-12-02,Vermont,117,111
2017-12-02,Virginia,1348,1343
2017-12-02,Washington,1136,1138
2017-12-02,West Virginia,450,419
2017-12-02,Wisconsin,1079,968
2017-12-02,Wyoming,96,98
2017-12-09,Alabama,1077,1074
2017-12-09,Alaska,90,76
2017-12-09,Arizona,1106,1092
2017-12-09,Arkansas,631,700
2017-12-09,California,5257,5289
2017-12-09,Colorado,793,752
2017-12-09,Connecticut,636,677
2017-12-09,Delaware,186,199
2017-12-09,District of Columbia,119,129
2017-12-09,Florida,4130,3914
2017-12-09,Georgia,1783,1705
2017-12-09,Hawaii,218,236
2017-12-09,Idaho,268,258
2017-12-09,Illinois,2167,2222
2017-12-09,Indiana,1308,1312
2017-12-09,Iowa,641,590
2017-12-09,Kansas,543,547
2017-12-09,Kentucky,952,978
2017-12-09,Louisiana,949,962
2017-12-09,Maine,311,290
2017-12-09,Maryland,981,953
2017-12-09,Massachusetts,1241,1131
2017-12-09,Michigan,1972,1930
2017-12-09,Minnesota,919,842
2017-12-09,Mississippi,668,629
2017-12-09,Missouri,1333,1265
2017-12-09,Montana,205,161
2017-12-09,Nebraska,359,321
2017-12-09,Nevada,483,485
2017-12-09,New Hampshire,260,231
2017-12-09,New Jersey,1462,1530
2017-12-09,New Mexico,351,372
2017-12-09,New York,3173,2968
2017-12-09,North Carolina,1933,1879
2017-12-09,North Dakota,143,150
2017-12-09,Ohio,2425,2460
2017-12-09,Oklahoma,802,729
2017-12-09,Oregon,749,655
2017-12-09,Pennsylvania,2737,2733
2017-12-09,Puerto Rico,571,619
2017-12-09,Rhode Island,225,224
2017-12-09,South Carolina,1012,939
2017-12-09,South Dakota,165,154
2017-12-09,Tennessee,1483,1544
2017-12-09,Texas,4184,3995
2017-12-09,United States,56698,55751
2017-12-09,Utah,386,351
2017-12-09,Vermont,118,118
2017-12-09,Virginia,1361,1389
2017-12-09,Washington,1140,1039
2017-12-09,West Virginia,455,464
2017-12-09,Wisconsin,1091,1034
2017-12-09,Wyoming,97,74
2017-12-16,Alabama,1085,1120
2017-12-16,Alaska,89,96
2017-12-16,Arizona,1131,1155
2017-12-16,Arkansas,645,711
2017-12-16,California,5337,5469
2017-12-16,Colorado,800,757
2017-12-16,Connecticut,643,644
2017-12-16,Delaware,188,196
2017-12-16,District of Columbia,119,123
2017-12-16,Florida,4183,4208
2017-12-16,Georgia,1537,1704
2017-12-16,Hawaii,221,242
2017-12-16,Idaho,268,275
2017-12-16,Illinois,2213,2170
2017-12-16,Indiana,1330,1356
2017-12-16,Iowa,642,604
2017-12-16,Kansas,550,513
2017-12-16,Kentucky,967,1036
2017-12-16,Louisiana,962,954
2017-12-16,Maine,316,287
2017-12-16,Maryland,1001,997
2017-12-16,Massachusetts,1269,1148
2017-12-16,Michigan,1990,1959
2017-12-16,Minnesota,921,883
2017-12-16,Mississippi,675,679
2017-12-16,Missouri,1345,1316
2017-12-16,Montana,205,199
2017-12-16,Nebraska,364,367
2017-12-16,Nevada,491,538
2017-12-16,New Hampshire,263,251
2017-12-16,New Jersey,1469,1542
2017-12-16,New Mexico,353,337
2017-12-16,New York,3223,3177
2017-12-16,North Carolina,1958,1954
2017-12-16,North Dakota,144,140
2017-12-16,Ohio,2473,2531
2017-12-16,Oklahoma,804,808
2017-12-16,Oregon,757,693
2017-12-16,Pennsylvania,2759,2739
2017-12-16,Puerto Rico,572,652
2017-12-16,Rhode Island,227,213
2017-12-16,South Carolina,1018,976
2017-12-16,South Dakota,167,144
2017-12-16,Tennessee,1508,1527
2017-12-16,Texas,4252,4110
2017-12-16,United States,57677,57538
2017-12-16,Utah,387,357
2017-12-16,Vermont,118,104
2017-12-16,Virginia,1389,1383
2017-12-16,Washington,1159,1152
2017-12-16,West Virginia,457,491
2017-12-16,Wisconsin,1098,1116
2017-12-16,Wyoming,96,87
2017-12-23,Alabama,1089,1098
2017-12-23,Alaska,89,90
2017-12-23,Arizona,1146,1336
2017-12-23,Arkansas,649,696
2017-12-23,California,5411,5792
2017-12-23,Colorado,808,781
2017-12-23,Connecticut,650,670
2017-12-23,Delaware,191,219
2017-12-23,District of Columbia,121,134
2017-12-23,Florida,4234,4277
2017-12-23,Georgia,1549,1739
2017-12-23,Hawaii,224,255
2017-12-23,Idaho,275,288
2017-12-23,Illinois,2234,2193
2017-12-23,Indiana,1338,1387
2017-12-23,Iowa,646,638
2017-12-23,Kansas,561,518
2017-12-23,Kentucky,983,1013
2017-12-23,Louisiana,963,1010
2017-12-23,Maine,319,293
2017-12-23,Maryland,1023,1056
2017-12-23,Massachusetts,1277,1265
2017-12-23,Michigan,2014,1970
2017-12-23,Minnesota,924,969
2017-12-23,Mississippi,678,701
2017-12-23,Missouri,1352,1352
2017-12-23,Montana,206,198
2017-12-23,Nebraska,367,344
2017-12-23,Nevada,498,559
2017-12-23,New Hampshire,266,246
2017-12-23,New Jersey,1489,1515
2017-12-23,New Mexico,359,385
2017-12-23,New York,3253,3334
2017-12-23,North Carolina,1974,1963
2017-12-23,North Dakota,142,139
2017-12-23,Ohio,2502,2633
2017-12-23,Oklahoma,820,837
2017-12-23,Oregon,761,763
2017-12-23,Pennsylvania,2792,2763
2017-12-23,Puerto Rico,566,650
2017-12-23,Rhode Island,230,218
2017-12-23,South Carolina,1024,1076
2017-12-23,South Dakota,168,171
2017-12-23,Tennessee,1544,1501
2017-12-23,Texas,4300,4620
2017-12-23,United States,58273,59674
2017-12-23,Utah,388,349
2017-12-23,Vermont,121,121
2017-12-23,Virginia,1403,1391
2017-12-23,Washington,1163,1154
2017-12-23,West Virginia,462,490
2017-12-23,Wisconsin,1108,1071
2017-12-23,Wyoming,96,93
2017-12-30,Alabama,1094,1080
2017-12-30,Alaska,88,86
2017-12-30,Arizona,1167,1429
2017-12-30,Arkansas,660,733
2017-12-30,California,5509,6555
2017-12-30,Colorado,816,814
2017-12-30,Connecticut,654,662
2017-12-30,Delaware,191,181
2017-12-30,District of Columbia,121,126
2017-12-30,Florida,3703,4211
2017-12-30,Georgia,1561,1677
2017-12-30,Hawaii,224,244
2017-12-30,Idaho,275,273
2017-12-30,Illinois,2236,2408
2017-12-30,Indiana,1345,1432
2017-12-30,Iowa,644,637
2017-12-30,Kansas,571,600
2017-12-30,Kentucky,988,1079
2017-12-30,Louisiana,967,1092
2017-12-30,Maine,321,269
2017-12-30,Maryland,1030,1040
2017-12-30,Massachusetts,1287,1245
2017-12-30,Michigan,2039,1998
2017-12-30,Minnesota,920,975
2017-12-30,Mississippi,683,771
2017-12-30,Missouri,1359,1381
2017-12-30,Montana,210,200
2017-12-30,Nebraska,372,356
2017-12-30,Nevada,503,564
2017-12-30,New Hampshire,268,235
2017-12-30,New Jersey,1503,1551
2017-12-30,New Mexico,364,367
2017-12-30,New York,3265,3302
2017-12-30,North Carolina,1977,1982
2017-12-30,North Dakota,140,132
2017-12-30,Ohio,2510,2745
2017-12-30,Oklahoma,828,846
2017-12-30,Oregon,774,797
2017-12-30,Pennsylvania,2814,2958
2017-12-30,Puerto Rico,564,621
2017-12-30,Rhode Island,231,227
2017-12-30,South Carolina,1022,1010
2017-12-30,South Dakota,169,135
2017-12-30,Tennessee,1555,1599
2017-12-30,Texas,4336,4413
2017-12-30,United States,58679,61255
2017-12-30,Utah,393,386
2017-12-30,Vermont,122,142
2017-12-30,Virginia,1413,1430
2017-12-30,Washington,1172,1213
2017-12-30,West Virginia,469,490
2017-12-30,Wisconsin,1100,1087
2017-12-30,Wyoming,96,90
2018-01-06,Alabama,1096,1248
2018-01-06,Alaska,86,72
2018-01-06,Arizona,1186,1532
2018-01-06,Arkansas,671,734
2018-01-06,California,5586,7042
2018-01-06,Colorado,827,867
2018-01-06,Connecticut,663,692
2018-01-06,Delaware,192,221
2018-01-06,District of Columbia,121,155
2018-01-06,Florida,3735,4480
2018-01-06,Georgia,1566,1934
2018-01-06,Hawaii,231,268
2018-01-06,Idaho,276,326
2018-01-06,Illinois,2252,2589
2018-01-06,Indiana,1347,1522
2018-01-06,Iowa,643,667
2018-01-06,Kansas,574,601
2018-01-06,Kentucky,995,1061
2018-01-06,Louisiana,968,1150
2018-01-06,Maine,324,320
2018-01-06,Maryland,1040,1107
2018-01-06,Massachusetts,1305,1373
2018-01-06,Michigan,2051,2245
2018-01-06,Minnesota,923,1004
2018-01-06,Mississippi,686,810
2018-01-06,Missouri,1362,1571
2018-01-06,Montana,210,193
2018-01-06,Nebraska,373,408
2018-01-06,Nevada,509,600
2018-01-06,New Hampshire,271,264
2018-01-06,New Jersey,1501,1682
2018-01-06,New Mexico,371,402
2018-01-06,New York,3300,3637
2018-01-06,North Carolina,2000,2142
2018-01-06,North Dakota,140,160
2018-01-06,Ohio,2526,2944
2018-01-06,Oklahoma,840,944
2018-01-06,Oregon,781,796
2018-01-06,Pennsylvania,2854,3005
2018-01-06,Puerto Rico,563,686
2018-01-06,Rhode Island,234,247
2018-01-06,South Carolina,1028,1048
2018-01-06,South Dakota,170,164
2018-01-06,Tennessee,1553,1726
2018-01-06,Texas,4363,5069
2018-01-06,United States,59088,66320
2018-01-06,Utah,396,418
2018-01-06,Vermont,123,126
2018-01-06,Virginia,1419,1606
2018-01-06,Washington,1177,1220
2018-01-06,West Virginia,467,604
2018-01-06,Wisconsin,1112,1227
2018-01-06,Wyoming,98,97
2018-01-13,Alabama,1107,1301
2018-01-13,Alaska,87,100
2018-01-13,Arizona,1198,1514
2018-01-13,Arkansas,673,763
2018-01-13,California,5631,6862
2018-01-13,Colorado,831,868
2018-01-13,Connecticut,665,793
2018-01-13,Delaware,193,188
2018-01-13,District of Columbia,121,157
2018-01-13,Florida,3767,4696
2018-01-13,Georgia,1574,2073
2018-01-13,Hawaii,237,249
2018-01-13,Idaho,275,310
2018-01-13,Illinois,2255,2671
2018-01-13,Indiana,1350,1583
2018-01-13,Iowa,646,675
2018-01-13,Kansas,577,611
2018-01-13,Kentucky,1003,1192
2018-01-13,Louisiana,969,1128
2018-01-13,Maine,325,314
2018-01-13,Maryland,1044,1187
2018-01-13,Massachusetts,1316,1455
2018-01-13,Michigan,2054,2137
2018-01-13,Minnesota,929,1037
2018-01-13,Mississippi,686,771
2018-01-13,Missouri,1367,1574
2018-01-13,Montana,209,205
2018-01-13,Nebraska,376,372
2018-01-13,Nevada,515,622
2018-01-13,New Hampshire,274,276
2018-01-13,New Jersey,1520,1766
2018-01-13,New Mexico,372,385
2018-01-13,New York,3303,3783
2018-01-13,North Carolina,2009,2208
2018-01-13,North Dakota,140,153
2018-01-13,Ohio,2529,3085
2018-01-13,Oklahoma,845,957
2018-01-13,Oregon,782,842
2018-01-13,Pennsylvania,2872,3175
2018-01-13,Puerto Rico,565,656
2018-01-13,Rhode Island,233,243
2018-01-13,South Carolina,1039,1128
2018-01-13,South Dakota,171,156
2018-01-13,Tennessee,1555,1780
2018-01-13,Texas,4364,5100
2018-01-13,United States,59332,67672
2018-01-13,Utah,395,397
2018-01-13,Vermont,123,144
2018-01-13,Virginia,1421,1547
2018-01-13,Washington,1178,1301
2018-01-13,West Virginia,468,585
2018-01-13,Wisconsin,1109,1164
2018-01-13,Wyoming,97,89
2018-01-20,Alabama,1107,1275
2018-01-20,Alaska,87,95
2018-01-20,Arizona,1212,1379
2018-01-20,Arkansas,676,761
2018-01-20,California,5658,6342
2018-01-20,Colorado,828,815
2018-01-20,Connecticut,674,685
2018-01-20,Delaware,194,207
2018-01-20,District of Columbia,122,121
2018-01-20,Florida,3784,4719
2018-01-20,Georgia,1579,1970
2018-01-20,Hawaii,238,235
2018-01-20,Idaho,278,265
2018-01-20,Illinois,2260,2460
2018-01-20,Indiana,1359,1536
2018-01-20,Iowa,641,661
2018-01-20,Kansas,577,596
2018-01-20,Kentucky,1012,1096
2018-01-20,Louisiana,964,1151
2018-01-20,Maine,325,296
2018-01-20,Maryland,1050,1095
2018-01-20,Massachusetts,1319,1311
2018-01-20,Michigan,2057,2182
2018-01-20,Minnesota,919,1012
2018-01-20,Mississippi,684,776
2018-01-20,Missouri,1235,1640
2018-01-20,Montana,210,178
2018-01-20,Nebraska,377,390
2018-01-20,Nevada,518,577
2018-01-20,New Hampshire,272,232
2018-01-20,New Jersey,1526,1605
2018-01-20,New Mexico,376,427
2018-01-20,New York,3311,3409
2018-01-20,North Carolina,2007,2116
2018-01-20,North Dakota,143,152
2018-01-20,Ohio,2542,2858
2018-01-20,Oklahoma,849,953
2018-01-20,Oregon,784,788
2018-01-20,Pennsylvania,2886,3060
2018-01-20,Puerto Rico,565,646
2018-01-20,Rhode Island,235,210
2018-01-20,South Carolina,1041,1124
2018-01-20,South Dakota,172,174
2018-01-20,Tennessee,1566,1751
2018-01-20,Texas,4362,4986
2018-01-20,United States,59543,64823
2018-01-20,Utah,397,379
2018-01-20,Vermont,124,129
2018-01-20,Virginia,1425,1516
2018-01-20,Washington,1183,1204
2018-01-20,West Virginia,469,570
2018-01-20,Wisconsin,1111,1255
2018-01-20,Wyoming,96,99
2018-01-27,Alabama,1107,1286
2018-01-27,Alaska,86,79
2018-01-27,Arizona,1218,1363
2018-01-27,Arkansas,679,736
2018-01-27,California,5701,5845
2018-01-27,Colorado,830,845
2018-01-27,Connecticut,677,672
2018-01-27,Delaware,191,210
2018-01-27,District of Columbia,121,136
2018-01-27,Florida,3810,4669
2018-01-27,Georgia,1578,1979
2018-01-27,Hawaii,241,225
2018-01-27,Idaho,281,282
2018-01-27,Illinois,2256,2416
2018-01-27,Indiana,1360,1491
2018-01-27,Iowa,638,640
2018-01-27,Kansas,582,611
2018-01-27,Kentucky,1015,1095
2018-01-27,Louisiana,962,1025
2018-01-27,Maine,324,301
2018-01-27,Maryland,1046,1103
2018-01-27,Massachusetts,1324,1252
2018-01-27,Michigan,2064,2108
2018-01-27,Minnesota,919,920
2018-01-27,Mississippi,686,734
2018-01-27,Missouri,1241,1501
2018-01-27,Montana,211,218
2018-01-27,Nebraska,379,364
2018-01-27,Nevada,456,550
2018-01-27,New Hampshire,272,266
2018-01-27,New Jersey,1513,1635
2018-01-27,New Mexico,379,387
2018-01-27,New York,3310,3440
2018-01-27,North Carolina,2013,2089
2018-01-27,North Dakota,140,150
2018-01-27,Ohio,2539,2811
2018-01-27,Oklahoma,857,905
2018-01-27,Oregon,788,735
2018-01-27,Pennsylvania,2895,3014
2018-01-27,Puerto Rico,563,616
2018-01-27,Rhode Island,235,222
2018-01-27,South Carolina,1048,1133
2018-01-27,South Dakota,173,194
2018-01-27,Tennessee,1565,1673
2018-01-27,Texas,4363,4711
2018-01-27,United States,59680,62927
2018-01-27,Utah,397,406
2018-01-27,Vermont,124,133
2018-01-27,Virginia,1422,1429
2018-01-27,Washington,1194,1213
2018-01-27,West Virginia,471,475
2018-01-27,Wisconsin,1109,1153
2018-01-27,Wyoming,97,97
2018-02-03,Alabama,1107,1147
2018-02-03,Alaska,87,82
2018-02-03,Arizona,1231,1375
2018-02-03,Arkansas,682,667
2018-02-03,California,5720,5981
2018-02-03,Colorado,827,857
2018-02-03,Connecticut,675,656
2018-02-03,Delaware,189,172
2018-02-03,District of Columbia,121,139
2018-02-03,Florida,3822,4722
2018-02-03,Georgia,1576,1894
2018-02-03,Hawaii,245,256
2018-02-03,Idaho,284,292
2018-02-03,Illinois,2242,2171
2018-02-03,Indiana,1364,1447
2018-02-03,Iowa,635,610
2018-02-03,Kansas,580,555
2018-02-03,Kentucky,1019,1046
2018-02-03,Louisiana,958,1005
2018-02-03,Maine,324,296
2018-02-03,Maryland,1041,1014
2018-02-03,Massachusetts,1318,1274
2018-02-03,Michigan,2062,2037
2018-02-03,Minnesota,914,929
2018-02-03,Mississippi,678,657
2018-02-03,Missouri,1246,1427
2018-02-03,Montana,212,196
2018-02-03,Nebraska,379,342
2018-02-03,Nevada,460,521
2018-02-03,New Hampshire,270,276
2018-02-03,New Jersey,1518,1577
2018-02-03,New Mexico,379,377
2018-02-03,New York,3294,3310
2018-02-03,North Carolina,2011,2094
2018-02-03,North Dakota,141,149
2018-02-03,Ohio,2541,2566
2018-02-03,Oklahoma,856,945
2018-02-03,Oregon,789,701
2018-02-03,Pennsylvania,2898,2936
2018-02-03,Puerto Rico,563,626
2018-02-03,Rhode Island,237,210
2018-02-03,South Carolina,1046,1154
2018-02-03,South Dakota,174,152
2018-02-03,Tennessee,1568,1579
2018-02-03,Texas,4351,4563
2018-02-03,United States,59677,61128
2018-02-03,Utah,394,380
2018-02-03,Vermont,125,107
2018-02-03,Virginia,1422,1455
2018-02-03,Washington,1195,1149
2018-02-03,West Virginia,474,473
2018-02-03,Wisconsin,1113,1111
2018-02-03,Wyoming,97,97
2018-02-10,Alabama,1096,1181
2018-02-10,Alaska,87,65
2018-02-10,Arizona,1236,1309
2018-02-10,Arkansas,679,680
2018-02-10,California,5731,5567
2018-02-10,Colorado,827,822
2018-02-10,Connecticut,670,671
2018-02-10,Delaware,189,184
2018-02-10,District of Columbia,121,145
2018-02-10,Florida,3833,4658
2018-02-10,Georgia,1567,1945
2018-02-10,Hawaii,246,207
2018-02-10,Idaho,281,285
2018-02-10,Illinois,2202,2256
2018-02-10,Indiana,1355,1475
2018-02-10,Iowa,629,649
2018-02-10,Kansas,578,539
2018-02-10,Kentucky,1015,1039
2018-02-10,Louisiana,951,1039
2018-02-10,Maine,322,300
2018-02-10,Maryland,1031,1056
2018-02-10,Massachusetts,1322,1287
2018-02-10,Michigan,2050,2091
2018-02-10,Minnesota,909,894
2018-02-10,Mississippi,676,710
2018-02-10,Missouri,1247,1437
2018-02-10,Montana,213,199
2018-02-10,Nebraska,379,340
2018-02-10,Nevada,461,531
2018-02-10,New Hampshire,270,265
2018-02-10,New Jersey,1508,1666
2018-02-10,New Mexico,382,399
2018-02-10,New York,3272,3417
2018-02-10,North Carolina,2012,2096
2018-02-10,North Dakota,143,133
2018-02-10,Ohio,2526,2647
2018-02-10,Oklahoma,857,869
2018-02-10,Oregon,785,708
2018-02-10,Pennsylvania,2890,2929
2018-02-10,Puerto Rico,562,598
2018-02-10,Rhode Island,234,219
2018-02-10,South Carolina,1044,1067
2018-02-10,South Dakota,173,158
2018-02-10,Tennessee,1557,1700
2018-02-10,Texas,4333,4457
2018-02-10,United States,59456,61247
2018-02-10,Utah,395,412
2018-02-10,Vermont,124,140
2018-02-10,Virginia,1411,1498
2018-02-10,Washington,1193,1145
2018-02-10,West Virginia,468,499
2018-02-10,Wisconsin,1102,1176
2018-02-10,Wyoming,97,86
2018-02-17,Alabama,1086,1096
2018-02-17,Alaska,86,83
2018-02-17,Arizona,1242,1228
2018-02-17,Arkansas,674,674
2018-02-17,California,5717,5627
2018-02-17,Colorado,820,821
2018-02-17,Connecticut,668,639
2018-02-17,Delaware,186,216
2018-02-17,District of Columbia,120,130
2018-02-17,Florida,3829,4493
2018-02-17,Georgia,1562,1891
2018-02-17,Hawaii,247,237
2018-02-17,Idaho,280,304
2018-02-17,Illinois,2190,2199
2018-02-17,Indiana,1333,1339
2018-02-17,Iowa,625,663
2018-02-17,Kansas,575,618
2018-02-17,Kentucky,1005,988
2018-02-17,Louisiana,937,978
2018-02-17,Maine,322,301
2018-02-17,Maryland,1023,1058
2018-02-17,Massachusetts,1313,1273
2018-02-17,Michigan,2034,2106
2018-02-17,Minnesota,900,917
2018-02-17,Mississippi,671,655
2018-02-17,Missouri,1367,1431
2018-02-17,Montana,212,223
2018-02-17,Nebraska,376,339
2018-02-17,Nevada,461,485
2018-02-17,New Hampshire,272,274
2018-02-17,New Jersey,1501,1632
2018-02-17,New Mexico,381,368
2018-02-17,New York,3239,3324
2018-02-17,North Carolina,1989,2058
2018-02-17,North Dakota,141,128
2018-02-17,Ohio,2500,2491
2018-02-17,Oklahoma,855,992
2018-02-17,Oregon,788,678
2018-02-17,Pennsylvania,2866,2898
2018-02-17,Puerto Rico,551,601
2018-02-17,Rhode Island,231,217
2018-02-17,South Carolina,1035,1065
2018-02-17,South Dakota,174,153
2018-02-17,Tennessee,1541,1593
2018-02-17,Texas,4289,4369
2018-02-17,United States,59026,59937
2018-02-17,Utah,393,369
2018-02-17,Vermont,124,119
2018-02-17,Virginia,1400,1426
2018-02-17,Washington,1192,1126
2018-02-17,West Virginia,465,449
2018-02-17,Wisconsin,1090,1099
2018-02-17,Wyoming,95,97
2018-02-24,Alabama,1074,1099
2018-02-24,Alaska,86,94
2018-02-24,Arizona,1237,1172
2018-02-24,Arkansas,668,671
2018-02-24,California,5671,5692
2018-02-24,Colorado,816,781
2018-02-24,Connecticut,664,632
2018-02-24,Delaware,186,215
2018-02-24,District of Columbia,118,95
2018-02-24,Florida,3821,4231
2018-02-24,Georgia,1784,1623
2018-02-24,Hawaii,248,239
2018-02-24,Idaho,279,273
2018-02-24,Illinois,2176,2258
2018-02-24,Indiana,1326,1336
2018-02-24,Iowa,616,671
2018-02-24,Kansas,570,558
2018-02-24,Kentucky,992,955
2018-02-24,Louisiana,916,884
2018-02-24,Maine,321,296
2018-02-24,Maryland,1005,1081
2018-02-24,Massachusetts,1303,1208
2018-02-24,Michigan,2008,2007
2018-02-24,Minnesota,893,954
2018-02-24,Mississippi,668,643
2018-02-24,Missouri,1353,1376
2018-02-24,Montana,209,197
2018-02-24,Nebraska,373,360
2018-02-24,Nevada,458,502
2018-02-24,New Hampshire,268,271
2018-02-24,New Jersey,1503,1527
2018-02-24,New Mexico,375,392
2018-02-24,New York,3225,3208
2018-02-24,North Carolina,1964,1903
2018-02-24,North Dakota,139,157
2018-02-24,Ohio,2487,2572
2018-02-24,Oklahoma,848,799
2018-02-24,Oregon,785,734
2018-02-24,Pennsylvania,2855,2803
2018-02-24,Puerto Rico,552,585
2018-02-24,Rhode Island,232,183
2018-02-24,South Carolina,1015,959
2018-02-24,South Dakota,172,167
2018-02-24,Tennessee,1514,1478
2018-02-24,Texas,4220,4136
2018-02-24,United States,58550,57943
2018-02-24,Utah,388,379
2018-02-24,Vermont,122,114
2018-02-24,Virginia,1380,1368
2018-02-24,Washington,1185,1119
2018-02-24,West Virginia,458,425
2018-02-24,Wisconsin,1079,1056
2018-02-24,Wyoming,94,90
2018-03-03,Alabama,1056,985
2018-03-03,Alaska,86,91
2018-03-03,Arizona,1224,1272
2018-03-03,Arkansas,658,611
2018-03-03,California,5604,5731
2018-03-03,Colorado,806,749
2018-03-03,Connecticut,658,630
2018-03-03,Delaware,185,190
2018-03-03,District of Columbia,116,127
2018-03-03,Florida,3789,4231
2018-03-03,Georgia,1755,1599
2018-03-03,Hawaii,245,224
2018-03-03,Idaho,274,282
2018-03-03,Illinois,2151,2145
2018-03-03,Indiana,1312,1268
2018-03-03,Iowa,606,599
2018-03-03,Kansas,557,561
2018-03-03,Kentucky,970,936
2018-03-03,Louisiana,903,792
2018-03-03,Maine,314,273
2018-03-03,Maryland,990,988
2018-03-03,Massachusetts,1298,1228
2018-03-03,Michigan,1985,1964
2018-03-03,Minnesota,893,893
2018-03-03,Mississippi,653,579
2018-03-03,Missouri,1336,1286
2018-03-03,Montana,207,194
2018-03-03,Nebraska,366,346
2018-03-03,Nevada,520,525
2018-03-03,New Hampshire,258,225
2018-03-03,New Jersey,1481,1481
2018-03-03,New Mexico,371,398
2018-03-03,New York,3187,3206
2018-03-03,North Carolina,1950,1805
2018-03-03,North Dakota,138,125
2018-03-03,Ohio,2468,2445
2018-03-03,Oklahoma,836,823
2018-03-03,Oregon,769,702
2018-03-03,Pennsylvania,2820,2789
2018-03-03,Puerto Rico,549,698
2018-03-03,Rhode Island,229,197
2018-03-03,South Carolina,1003,958
2018-03-03,South Dakota,169,187
2018-03-03,Tennessee,1484,1365
2018-03-03,Texas,4158,4146
2018-03-03,United States,58168,56833
2018-03-03,Utah,384,404
2018-03-03,Vermont,121,121
2018-03-03,Virginia,1369,1340
2018-03-03,Washington,1173,1222
2018-03-03,West Virginia,453,440
2018-03-03,Wisconsin,1070,1064
2018-03-03,Wyoming,91,91
2018-03-10,Alabama,1039,1059
2018-03-10,Alaska,85,90
2018-03-10,Arizona,1215,1282
2018-03-10,Arkansas,645,652
2018-03-10,California,5513,5923
2018-03-10,Colorado,797,782
2018-03-10,Connecticut,653,617
2018-03-10,Delaware,186,201
2018-03-10,District of Columbia,115,112
2018-03-10,Florida,3767,4151
2018-03-10,Georgia,1729,1648
2018-03-10,Hawaii,244,246
2018-03-10,Idaho,272,300
2018-03-10,Illinois,2115,2058
2018-03-10,Indiana,1294,1308
2018-03-10,Iowa,594,600
2018-03-10,Kansas,543,540
2018-03-10,Kentucky,965,978
2018-03-10,Louisiana,893,835
2018-03-10,Maine,308,269
2018-03-10,Maryland,978,1000
2018-03-10,Massachusetts,1277,1234
2018-03-10,Michigan,1968,1927
2018-03-10,Minnesota,887,847
2018-03-10,Mississippi,647,630
2018-03-10,Missouri,1316,1300
2018-03-10,Montana,206,221
2018-03-10,Nebraska,362,357
2018-03-10,Nevada,514,519
2018-03-10,New Hampshire,253,256
2018-03-10,New Jersey,1463,1467
2018-03-10,New Mexico,367,398
2018-03-10,New York,3147,3153
2018-03-10,North Carolina,1925,1905
2018-03-10,North Dakota,135,152
2018-03-10,Ohio,2444,2435
2018-03-10,Oklahoma,820,861
2018-03-10,Oregon,765,721
2018-03-10,Pennsylvania,2795,2689
2018-03-10,Puerto Rico,547,594
2018-03-10,Rhode Island,227,215
2018-03-10,South Carolina,995,979
2018-03-10,South Dakota,167,183
2018-03-10,Tennessee,1464,1415
2018-03-10,Texas,4091,4138
2018-03-10,United States,57254,57228
2018-03-10,Utah,380,401
2018-03-10,Vermont,119,133
2018-03-10,Virginia,1356,1295
2018-03-10,Washington,1162,1130
2018-03-10,West Virginia,446,466
2018-03-10,Wisconsin,1064,1043
2018-03-10,Wyoming,89,107
2018-03-17,Alabama,1027,1086
2018-03-17,Alaska,84,69
2018-03-17,Arizona,1208,1196
2018-03-17,Arkansas,627,583
