Sex,CountryCode,Population,Age
b,BGR,1004376,D0_14
b,BGR,4563750,D15_64
b,BGR,867901,D65_74
b,BGR,477803,D75_84
b,BGR,136204.04,D85p
f,CAN,2941561.13,D0_14
f,CAN,12431828.73,D15_64
f,CAN,2008065.44,D65_74
f,CAN,1080745.08,D75_84
f,CAN,535003.19,D85p
m,CAN,3073960.7,D0_14
m,CAN,12600377.02,D15_64
m,CAN,1867986.67,D65_74
m,CAN,909540.98,D75_84
m,CAN,309040.94,D85p
b,CAN,6015521.83,D0_14
b,CAN,25032205.75,D15_64
b,CAN,3876052.11,D65_74
b,CAN,1990286.06,D75_84
b,CAN,844044.13,D85p
f,CHE,635032,D0_14
f,CHE,2833462,D15_64
f,CHE,436617,D65_74
f,CHE,311565,D75_84
f,CHE,151024.99,D85p
m,CHE,671239,D0_14
m,CHE,2900897,D15_64
m,CHE,400512,D65_74
m,CHE,249773,D75_84
m,CHE,80177.98,D85p
b,CHE,1306271,D0_14
b,CHE,5734359,D15_64
b,CHE,837129,D65_74
b,CHE,561338,D75_84
b,CHE,231202.97,D85p
f,CHL,1693013.63,D0_14
f,CHL,6165603.11,D15_64
f,CHL,719815.69,D65_74
f,CHL,405540.87,D75_84
f,CHL,141839.17,D85p
m,CHL,1762986.55,D0_14
m,CHL,6025308.65,D15_64
m,CHL,610396.16,D65_74
m,CHL,294541.6,D75_84
m,CHL,73933.35,D85p
b,CHL,3456000.18,D0_14
b,CHL,12190911.76,D15_64
b,CHL,1330211.85,D65_74
b,CHL,700082.47,D75_84
b,CHL,215772.52,D85p
f,CZE,833900,D0_14
f,CZE,3354390,D15_64
f,CZE,700699,D65_74
f,CZE,389202,D75_84
f,CZE,143752,D85p
m,CZE,876302,D0_14
m,CZE,3497717,D15_64
m,CZE,581202,D65_74
m,CZE,253922,D75_84
m,CZE,62853.04,D85p
b,CZE,1710202,D0_14
b,CZE,6852107,D15_64
b,CZE,1281901,D65_74
b,CZE,643124,D75_84
b,CZE,206605.04,D85p
f,DEUTNP,5430864,D0_14
f,DEUTNP,26534455,D15_64
f,DEUTNP,4386960,D65_74
f,DEUTNP,4049530,D75_84
f,DEUTNP,1546976.87,D85p
m,DEUTNP,5740895,D0_14
m,DEUTNP,27376426,D15_64
m,DEUTNP,3936643,D65_74
m,DEUTNP,3071104,D75_84
m,DEUTNP,718496.97,D85p
b,DEUTNP,11171759,D0_14
b,DEUTNP,53910881,D15_64
b,DEUTNP,8323603,D65_74
b,DEUTNP,7120634,D75_84
b,DEUTNP,2265473.84,D85p
f,DNK,460319,D0_14
f,DNK,1846407,D15_64
f,DNK,324796,D65_74
f,DNK,235558,D75_84
f,DNK,83425,D85p
m,DNK,485512,D0_14
m,DNK,1885966,D15_64
m,DNK,304422,D65_74
m,DNK,199791,D75_84
m,DNK,47224,D85p
b,DNK,945831,D0_14
b,DNK,3732373,D15_64
b,DNK,629218,D65_74
b,DNK,435349,D75_84
b,DNK,130649,D85p
f,ESP,3275977,D0_14
f,ESP,15601316,D15_64
f,ESP,2493393,D65_74
f,ESP,1763938,D75_84
f,ESP,1036789.91,D85p
m,ESP,3483339,D0_14
m,ESP,15667144,D15_64
m,ESP,2212500,D65_74
m,ESP,1324966,D75_84
m,ESP,539334.09,D85p
b,ESP,6759316,D0_14
b,ESP,31268460,D15_64
b,ESP,4705893,D65_74
b,ESP,3088904,D75_84
b,ESP,1576124,D85p
f,EST,106253,D0_14
f,EST,419478,D15_64
f,EST,84286,D65_74
f,EST,62549,D75_84
f,EST,27133.07,D85p
m,EST,112449,D0_14
m,EST,424508,D15_64
m,EST,55924,D65_74
m,EST,28595,D75_84
m,EST,7801,D85p
b,EST,218702,D0_14
b,EST,843986,D15_64
b,EST,140210,D65_74
b,EST,91144,D75_84
b,EST,34934.07,D85p
f,FIN,420687,D0_14
f,FIN,1677584,D15_64
f,FIN,372425,D65_74
f,FIN,224138,D75_84
f,FIN,105151,D85p
m,FIN,440174,D0_14
m,FIN,1739410,D15_64
m,FIN,335678,D65_74
m,FIN,168747,D75_84
m,FIN,49799,D85p
b,FIN,860861,D0_14
b,FIN,3416994,D15_64
b,FIN,708103,D65_74
b,FIN,392885,D75_84
b,FIN,154950,D85p
f,FRATNP,5624920,D0_14
f,FRATNP,20347669,D15_64
f,FRATNP,3841633,D65_74
f,FRATNP,2284691,D75_84
f,FRATNP,1524094.06,D85p
m,FRATNP,5879070,D0_14
m,FRATNP,19831398,D15_64
m,FRATNP,3364837,D65_74
m,FRATNP,1714986,D75_84
m,FRATNP,710545.03,D85p
b,FRATNP,11503990,D0_14
b,FRATNP,40179067,D15_64
b,FRATNP,7206470,D65_74
b,FRATNP,3999677,D75_84
b,FRATNP,2234639.09,D85p
f,GBR_NIR,181283.5,D0_14
f,GBR_NIR,606726.5,D15_64
f,GBR_NIR,88135.5,D65_74
f,GBR_NIR,57049.5,D75_84
f,GBR_NIR,25000.46,D85p
m,GBR_NIR,190824,D0_14
m,GBR_NIR,597359.5,D15_64
m,GBR_NIR,82363,D65_74
m,GBR_NIR,45683,D75_84
m,GBR_NIR,13229.09,D85p
b,GBR_NIR,372107.5,D0_14
b,GBR_NIR,1204086,D15_64
b,GBR_NIR,170498.5,D65_74
b,GBR_NIR,102732.5,D75_84
b,GBR_NIR,38229.55,D85p
f,GBR_SCO,421994.5,D0_14
f,GBR_SCO,1802335,D15_64
f,GBR_SCO,299755,D65_74
f,GBR_SCO,189509.5,D75_84
f,GBR_SCO,81228.92,D85p
m,GBR_SCO,443728.5,D0_14
m,GBR_SCO,1747512.5,D15_64
m,GBR_SCO,275084,D65_74
m,GBR_SCO,145549.5,D75_84
m,GBR_SCO,44002.51,D85p
b,GBR_SCO,865723,D0_14
b,GBR_SCO,3549847.5,D15_64
b,GBR_SCO,574839,D65_74
b,GBR_SCO,335059,D75_84
b,GBR_SCO,125231.43,D85p
f,GBRTENW,5215426,D0_14
f,GBRTENW,18835175,D15_64
f,GBRTENW,3070442,D65_74
f,GBRTENW,1932155,D75_84
f,GBRTENW,925746.46,D85p
m,GBRTENW,5482957,D0_14
m,GBRTENW,18820597.5,D15_64
m,GBRTENW,2851769,D65_74
m,GBRTENW,1604882.5,D75_84
m,GBRTENW,538674.04,D85p
b,GBRTENW,10698383,D0_14
b,GBRTENW,37655772.5,D15_64
b,GBRTENW,5922211,D65_74
b,GBRTENW,3537037.5,D75_84
b,GBRTENW,1464420.5,D85p
f,GRC,742522,D0_14
f,GRC,3434066,D15_64
f,GRC,630892,D65_74
f,GRC,472229,D75_84
f,GRC,223368.08,D85p
m,GRC,784997,D0_14
m,GRC,3370780,D15_64
m,GRC,546389,D65_74
m,GRC,359274,D75_84
m,GRC,154048.03,D85p
b,GRC,1527519,D0_14
b,GRC,6804846,D15_64
b,GRC,1177281,D65_74
b,GRC,831503,D75_84
b,GRC,377416.11,D85p
f,HRV,279322,D0_14
f,HRV,1282725,D15_64
f,HRV,268878,D65_74
f,HRV,173254,D75_84
f,HRV,67245.92,D85p
m,HRV,295565,D0_14
m,HRV,1313896,D15_64
m,HRV,221122,D65_74
m,HRV,105980,D75_84
m,HRV,28366.9,D85p
b,HRV,574887,D0_14
b,HRV,2596621,D15_64
b,HRV,490000,D65_74
b,HRV,279234,D75_84
b,HRV,95612.82,D85p
f,HUN,689677,D0_14
f,HUN,3157557,D15_64
f,HUN,673119,D65_74
f,HUN,401309,D75_84
f,HUN,145316,D85p
m,HUN,727556,D0_14
m,HUN,3179316,D15_64
m,HUN,487175,D65_74
m,HUN,215195,D75_84
m,HUN,54552.04,D85p
b,HUN,1417233,D0_14
b,HUN,6336873,D15_64
b,HUN,1160294,D65_74
b,HUN,616504,D75_84
b,HUN,199868.04,D85p
f,ISL,33010,D0_14
f,ISL,114655,D15_64
f,ISL,14694,D65_74
f,ISL,7876,D75_84
f,ISL,3919,D85p
m,ISL,34807,D0_14
m,ISL,123780,D15_64
m,ISL,14865,D65_74
m,ISL,6908,D75_84
m,ISL,2477,D85p
b,ISL,67817,D0_14
b,ISL,238435,D15_64
b,ISL,29559,D65_74
b,ISL,14784,D75_84
b,ISL,6396,D85p
f,ISR,1188433,D0_14
f,ISR,2616155,D15_64
f,ISR,298269,D65_74
f,ISR,170103,D75_84
f,ISR,76350.06,D85p
m,ISR,1250941,D0_14
m,ISR,2594613,D15_64
m,ISR,259949,D65_74
m,ISR,127612,D75_84
m,ISR,46071.96,D85p
b,ISR,2439374,D0_14
b,ISR,5210768,D15_64
b,ISR,558218,D65_74
b,ISR,297715,D75_84
b,ISR,122422.02,D85p
f,ITA,3751667,D0_14
f,ITA,19025113,D15_64
f,ITA,3587328,D65_74
f,ITA,2763529,D75_84
f,ITA,1463755.03,D85p
m,ITA,3975887,D0_14
m,ITA,19029731,D15_64
m,ITA,3208046,D65_74
m,ITA,2112020,D75_84
m,ITA,724412.08,D85p
b,ITA,7727554,D0_14
b,ITA,38054844,D15_64
b,ITA,6795374,D65_74
b,ITA,4875549,D75_84
b,ITA,2188167.11,D85p
f,KOR,3215823,D0_14
f,KOR,18190760,D15_64
f,KOR,2230282,D65_74
f,KOR,1579648,D75_84
f,KOR,500083.11,D85p
m,KOR,3406312,D0_14
m,KOR,18979009,D15_64
m,KOR,2001776,D65_74
m,KOR,1042494,D75_84
m,KOR,179258.03,D85p
b,KOR,6622135,D0_14
b,KOR,37169769,D15_64
b,KOR,4232058,D65_74
b,KOR,2622142,D75_84
b,KOR,679341.14,D85p
f,LTU,205693,D0_14
f,LTU,907879,D15_64
f,LTU,174924,D65_74
f,LTU,136726,D75_84
f,LTU,56860.03,D85p
m,LTU,216675,D0_14
m,LTU,908385,D15_64
m,LTU,109750,D65_74
m,LTU,60556,D75_84
m,LTU,18231.920000000002,D85p
b,LTU,422368,D0_14
b,LTU,1816264,D15_64
b,LTU,284674,D65_74
b,LTU,197282,D75_84
b,LTU,75091.95,D85p
f,LUX,49563,D0_14
f,LUX,215051,D15_64
f,LUX,26094,D65_74
f,LUX,16336,D75_84
f,LUX,8230.03,D85p
m,LUX,51832,D0_14
m,LUX,225547,D15_64
m,LUX,25080,D65_74
m,LUX,12883,D75_84
m,LUX,4113.98,D85p
b,LUX,101395,D0_14
b,LUX,440598,D15_64
b,LUX,51174,D65_74
b,LUX,29219,D75_84
b,LUX,12344.01,D85p
f,LVA,147905,D0_14
f,LVA,617083,D15_64
f,LVA,123626,D65_74
f,LVA,101360,D75_84
f,LVA,36745.01,D85p
m,LVA,157283,D0_14
m,LVA,593991,D15_64
m,LVA,76548,D65_74
m,LVA,42907,D75_84
m,LVA,10227.03,D85p
b,LVA,305188,D0_14
b,LVA,1211074,D15_64
b,LVA,200174,D65_74
b,LVA,144267,D75_84
b,LVA,46972.04,D85p
f,NLD,1329385,D0_14
f,NLD,5609568,D15_64
f,NLD,984468,D65_74
f,NLD,582203,D75_84
f,NLD,253930.04,D85p
m,NLD,1396714,D0_14
m,NLD,5679363,D15_64
m,NLD,952799,D65_74
m,NLD,487053,D75_84
m,NLD,132102.08,D85p
b,NLD,2726099,D0_14
b,NLD,11288931,D15_64
b,NLD,1937267,D65_74
b,NLD,1069256,D75_84
b,NLD,386032.12,D85p
f,NOR,448335,D0_14
f,NOR,1708992,D15_64
f,NOR,272706,D65_74
f,NOR,166147,D75_84
f,NOR,75930,D85p
m,NOR,473256,D0_14
m,NOR,1795044,D15_64
m,NOR,267290,D65_74
m,NOR,142139,D75_84
m,NOR,41530,D85p
b,NOR,921591,D0_14
b,NOR,3504036,D15_64
b,NOR,539996,D65_74
b,NOR,308286,D75_84
b,NOR,117460,D85p
f,NZL_NP,443535.5,D0_14
f,NZL_NP,1498184.68,D15_64
f,NZL_NP,189384.11000000002,D65_74
f,NZL_NP,105584.97,D75_84
f,NZL_NP,48565.58,D85p
m,NZL_NP,466509.73,D0_14
m,NZL_NP,1429738.31,D15_64
m,NZL_NP,178789.14,D65_74
m,NZL_NP,88319.77,D75_84
m,NZL_NP,27661.79,D85p
b,NZL_NP,910045.23,D0_14
b,NZL_NP,2927922.9899999998,D15_64
b,NZL_NP,368173.25,D65_74
b,NZL_NP,193904.74,D75_84
b,NZL_NP,76227.37,D85p
f,POL,2865308,D0_14
f,POL,12771841,D15_64
f,POL,2373183,D65_74
f,POL,1221647,D75_84
f,POL,583545.04,D85p
m,POL,3022779,D0_14
m,POL,12775629,D15_64
m,POL,1843916,D65_74
m,POL,696152,D75_84
m,POL,228575.97,D85p
b,POL,5888087,D0_14
